遥信(DI)描述,遥测(AI)描述,遥测(AI)乘法因子,遥测(AI)偏移量,遥控(DO)描述,遥控(DO)限定词：0-未指定；1-短脉冲；2-长脉冲；3-持续,遥控(DO)类型：0-选择执行；1-立即执行,遥调(AO)描述,累计量(CI)描述
遥信(DI)#5805,遥测(AI)#5805,5805,-4196,,,,,
遥信(DI)#5806,遥测(AI)#5806,5806,-4195,,,,,
遥信(DI)#5807,遥测(AI)#5807,5807,-4194,,,,,
遥信(DI)#5808,遥测(AI)#5808,5808,-4193,,,,,
遥信(DI)#5809,遥测(AI)#5809,5809,-4192,,,,,
遥信(DI)#5810,遥测(AI)#5810,5810,-4191,,,,,
遥信(DI)#5811,遥测(AI)#5811,5811,-4190,,,,,
遥信(DI)#5812,遥测(AI)#5812,5812,-4189,,,,,
遥信(DI)#5813,遥测(AI)#5813,5813,-4188,,,,,
遥信(DI)#5814,遥测(AI)#5814,5814,-4187,,,,,
遥信(DI)#5815,遥测(AI)#5815,5815,-4186,,,,,
遥信(DI)#5816,遥测(AI)#5816,5816,-4185,,,,,
遥信(DI)#5817,遥测(AI)#5817,5817,-4184,,,,,
遥信(DI)#5818,遥测(AI)#5818,5818,-4183,,,,,
遥信(DI)#5819,遥测(AI)#5819,5819,-4182,,,,,
遥信(DI)#5820,遥测(AI)#5820,5820,-4181,,,,,
遥信(DI)#5821,遥测(AI)#5821,5821,-4180,,,,,
遥信(DI)#5822,遥测(AI)#5822,5822,-4179,,,,,
遥信(DI)#5823,遥测(AI)#5823,5823,-4178,,,,,
遥信(DI)#5824,遥测(AI)#5824,5824,-4177,,,,,
遥信(DI)#5825,遥测(AI)#5825,5825,-4176,,,,,
遥信(DI)#5826,遥测(AI)#5826,5826,-4175,,,,,
遥信(DI)#5827,遥测(AI)#5827,5827,-4174,,,,,
遥信(DI)#5828,遥测(AI)#5828,5828,-4173,,,,,
遥信(DI)#5829,遥测(AI)#5829,5829,-4172,,,,,
遥信(DI)#5830,遥测(AI)#5830,5830,-4171,,,,,
遥信(DI)#5831,遥测(AI)#5831,5831,-4170,,,,,
遥信(DI)#5832,遥测(AI)#5832,5832,-4169,,,,,
遥信(DI)#5833,遥测(AI)#5833,5833,-4168,,,,,
遥信(DI)#5834,遥测(AI)#5834,5834,-4167,,,,,
遥信(DI)#5835,遥测(AI)#5835,5835,-4166,,,,,
遥信(DI)#5836,遥测(AI)#5836,5836,-4165,,,,,
遥信(DI)#5837,遥测(AI)#5837,5837,-4164,,,,,
遥信(DI)#5838,遥测(AI)#5838,5838,-4163,,,,,
遥信(DI)#5839,遥测(AI)#5839,5839,-4162,,,,,
遥信(DI)#5840,遥测(AI)#5840,5840,-4161,,,,,
遥信(DI)#5841,遥测(AI)#5841,5841,-4160,,,,,
遥信(DI)#5842,遥测(AI)#5842,5842,-4159,,,,,
遥信(DI)#5843,遥测(AI)#5843,5843,-4158,,,,,
遥信(DI)#5844,遥测(AI)#5844,5844,-4157,,,,,
遥信(DI)#5845,遥测(AI)#5845,5845,-4156,,,,,
遥信(DI)#5846,遥测(AI)#5846,5846,-4155,,,,,
遥信(DI)#5847,遥测(AI)#5847,5847,-4154,,,,,
遥信(DI)#5848,遥测(AI)#5848,5848,-4153,,,,,
遥信(DI)#5849,遥测(AI)#5849,5849,-4152,,,,,
遥信(DI)#5850,遥测(AI)#5850,5850,-4151,,,,,
遥信(DI)#5851,遥测(AI)#5851,5851,-4150,,,,,
遥信(DI)#5852,遥测(AI)#5852,5852,-4149,,,,,
遥信(DI)#5853,遥测(AI)#5853,5853,-4148,,,,,
遥信(DI)#5854,遥测(AI)#5854,5854,-4147,,,,,
遥信(DI)#5855,遥测(AI)#5855,5855,-4146,,,,,
遥信(DI)#5856,遥测(AI)#5856,5856,-4145,,,,,
遥信(DI)#5857,遥测(AI)#5857,5857,-4144,,,,,
遥信(DI)#5858,遥测(AI)#5858,5858,-4143,,,,,
遥信(DI)#5859,遥测(AI)#5859,5859,-4142,,,,,
遥信(DI)#5860,遥测(AI)#5860,5860,-4141,,,,,
遥信(DI)#5861,遥测(AI)#5861,5861,-4140,,,,,
遥信(DI)#5862,遥测(AI)#5862,5862,-4139,,,,,
遥信(DI)#5863,遥测(AI)#5863,5863,-4138,,,,,
遥信(DI)#5864,遥测(AI)#5864,5864,-4137,,,,,
遥信(DI)#5865,遥测(AI)#5865,5865,-4136,,,,,
遥信(DI)#5866,遥测(AI)#5866,5866,-4135,,,,,
遥信(DI)#5867,遥测(AI)#5867,5867,-4134,,,,,
遥信(DI)#5868,遥测(AI)#5868,5868,-4133,,,,,
遥信(DI)#5869,遥测(AI)#5869,5869,-4132,,,,,
遥信(DI)#5870,遥测(AI)#5870,5870,-4131,,,,,
遥信(DI)#5871,遥测(AI)#5871,5871,-4130,,,,,
遥信(DI)#5872,遥测(AI)#5872,5872,-4129,,,,,
遥信(DI)#5873,遥测(AI)#5873,5873,-4128,,,,,
遥信(DI)#5874,遥测(AI)#5874,5874,-4127,,,,,
遥信(DI)#5875,遥测(AI)#5875,5875,-4126,,,,,
遥信(DI)#5876,遥测(AI)#5876,5876,-4125,,,,,
遥信(DI)#5877,遥测(AI)#5877,5877,-4124,,,,,
遥信(DI)#5878,遥测(AI)#5878,5878,-4123,,,,,
遥信(DI)#5879,遥测(AI)#5879,5879,-4122,,,,,
遥信(DI)#5880,遥测(AI)#5880,5880,-4121,,,,,
遥信(DI)#5881,遥测(AI)#5881,5881,-4120,,,,,
遥信(DI)#5882,遥测(AI)#5882,5882,-4119,,,,,
遥信(DI)#5883,遥测(AI)#5883,5883,-4118,,,,,
遥信(DI)#5884,遥测(AI)#5884,5884,-4117,,,,,
遥信(DI)#5885,遥测(AI)#5885,5885,-4116,,,,,
遥信(DI)#5886,遥测(AI)#5886,5886,-4115,,,,,
遥信(DI)#5887,遥测(AI)#5887,5887,-4114,,,,,
遥信(DI)#5888,遥测(AI)#5888,5888,-4113,,,,,
遥信(DI)#5889,遥测(AI)#5889,5889,-4112,,,,,
遥信(DI)#5890,遥测(AI)#5890,5890,-4111,,,,,
遥信(DI)#5891,遥测(AI)#5891,5891,-4110,,,,,
遥信(DI)#5892,遥测(AI)#5892,5892,-4109,,,,,
遥信(DI)#5893,遥测(AI)#5893,5893,-4108,,,,,
遥信(DI)#5894,遥测(AI)#5894,5894,-4107,,,,,
遥信(DI)#5895,遥测(AI)#5895,5895,-4106,,,,,
遥信(DI)#5896,遥测(AI)#5896,5896,-4105,,,,,
遥信(DI)#5897,遥测(AI)#5897,5897,-4104,,,,,
遥信(DI)#5898,遥测(AI)#5898,5898,-4103,,,,,
遥信(DI)#5899,遥测(AI)#5899,5899,-4102,,,,,
遥信(DI)#5900,遥测(AI)#5900,5900,-4101,,,,,
遥信(DI)#5901,遥测(AI)#5901,5901,-4100,,,,,
遥信(DI)#5902,遥测(AI)#5902,5902,-4099,,,,,
遥信(DI)#5903,遥测(AI)#5903,5903,-4098,,,,,
遥信(DI)#5904,遥测(AI)#5904,5904,-4097,,,,,
遥信(DI)#5905,遥测(AI)#5905,5905,-4096,,,,,
遥信(DI)#5906,遥测(AI)#5906,5906,-4095,,,,,
遥信(DI)#5907,遥测(AI)#5907,5907,-4094,,,,,
遥信(DI)#5908,遥测(AI)#5908,5908,-4093,,,,,
遥信(DI)#5909,遥测(AI)#5909,5909,-4092,,,,,
遥信(DI)#5910,遥测(AI)#5910,5910,-4091,,,,,
遥信(DI)#5911,遥测(AI)#5911,5911,-4090,,,,,
遥信(DI)#5912,遥测(AI)#5912,5912,-4089,,,,,
遥信(DI)#5913,遥测(AI)#5913,5913,-4088,,,,,
遥信(DI)#5914,遥测(AI)#5914,5914,-4087,,,,,
遥信(DI)#5915,遥测(AI)#5915,5915,-4086,,,,,
遥信(DI)#5916,遥测(AI)#5916,5916,-4085,,,,,
遥信(DI)#5917,遥测(AI)#5917,5917,-4084,,,,,
遥信(DI)#5918,遥测(AI)#5918,5918,-4083,,,,,
遥信(DI)#5919,遥测(AI)#5919,5919,-4082,,,,,
遥信(DI)#5920,遥测(AI)#5920,5920,-4081,,,,,
遥信(DI)#5921,遥测(AI)#5921,5921,-4080,,,,,
遥信(DI)#5922,遥测(AI)#5922,5922,-4079,,,,,
遥信(DI)#5923,遥测(AI)#5923,5923,-4078,,,,,
遥信(DI)#5924,遥测(AI)#5924,5924,-4077,,,,,
遥信(DI)#5925,遥测(AI)#5925,5925,-4076,,,,,
遥信(DI)#5926,遥测(AI)#5926,5926,-4075,,,,,
遥信(DI)#5927,遥测(AI)#5927,5927,-4074,,,,,
遥信(DI)#5928,遥测(AI)#5928,5928,-4073,,,,,
遥信(DI)#5929,遥测(AI)#5929,5929,-4072,,,,,
遥信(DI)#5930,遥测(AI)#5930,5930,-4071,,,,,
遥信(DI)#5931,遥测(AI)#5931,5931,-4070,,,,,
遥信(DI)#5932,遥测(AI)#5932,5932,-4069,,,,,
遥信(DI)#5933,遥测(AI)#5933,5933,-4068,,,,,
遥信(DI)#5934,遥测(AI)#5934,5934,-4067,,,,,
遥信(DI)#5935,遥测(AI)#5935,5935,-4066,,,,,
遥信(DI)#5936,遥测(AI)#5936,5936,-4065,,,,,
遥信(DI)#5937,遥测(AI)#5937,5937,-4064,,,,,
遥信(DI)#5938,遥测(AI)#5938,5938,-4063,,,,,
遥信(DI)#5939,遥测(AI)#5939,5939,-4062,,,,,
遥信(DI)#5940,遥测(AI)#5940,5940,-4061,,,,,
遥信(DI)#5941,遥测(AI)#5941,5941,-4060,,,,,
遥信(DI)#5942,遥测(AI)#5942,5942,-4059,,,,,
遥信(DI)#5943,遥测(AI)#5943,5943,-4058,,,,,
遥信(DI)#5944,遥测(AI)#5944,5944,-4057,,,,,
遥信(DI)#5945,遥测(AI)#5945,5945,-4056,,,,,
遥信(DI)#5946,遥测(AI)#5946,5946,-4055,,,,,
遥信(DI)#5947,遥测(AI)#5947,5947,-4054,,,,,
遥信(DI)#5948,遥测(AI)#5948,5948,-4053,,,,,
遥信(DI)#5949,遥测(AI)#5949,5949,-4052,,,,,
遥信(DI)#5950,遥测(AI)#5950,5950,-4051,,,,,
遥信(DI)#5951,遥测(AI)#5951,5951,-4050,,,,,
遥信(DI)#5952,遥测(AI)#5952,5952,-4049,,,,,
遥信(DI)#5953,遥测(AI)#5953,5953,-4048,,,,,
遥信(DI)#5954,遥测(AI)#5954,5954,-4047,,,,,
遥信(DI)#5955,遥测(AI)#5955,5955,-4046,,,,,
遥信(DI)#5956,遥测(AI)#5956,5956,-4045,,,,,
遥信(DI)#5957,遥测(AI)#5957,5957,-4044,,,,,
遥信(DI)#5958,遥测(AI)#5958,5958,-4043,,,,,
遥信(DI)#5959,遥测(AI)#5959,5959,-4042,,,,,
遥信(DI)#5960,遥测(AI)#5960,5960,-4041,,,,,
遥信(DI)#5961,遥测(AI)#5961,5961,-4040,,,,,
遥信(DI)#5962,遥测(AI)#5962,5962,-4039,,,,,
遥信(DI)#5963,遥测(AI)#5963,5963,-4038,,,,,
遥信(DI)#5964,遥测(AI)#5964,5964,-4037,,,,,
遥信(DI)#5965,遥测(AI)#5965,5965,-4036,,,,,
遥信(DI)#5966,遥测(AI)#5966,5966,-4035,,,,,
遥信(DI)#5967,遥测(AI)#5967,5967,-4034,,,,,
遥信(DI)#5968,遥测(AI)#5968,5968,-4033,,,,,
遥信(DI)#5969,遥测(AI)#5969,5969,-4032,,,,,
遥信(DI)#5970,遥测(AI)#5970,5970,-4031,,,,,
遥信(DI)#5971,遥测(AI)#5971,5971,-4030,,,,,
遥信(DI)#5972,遥测(AI)#5972,5972,-4029,,,,,
遥信(DI)#5973,遥测(AI)#5973,5973,-4028,,,,,
遥信(DI)#5974,遥测(AI)#5974,5974,-4027,,,,,
遥信(DI)#5975,遥测(AI)#5975,5975,-4026,,,,,
遥信(DI)#5976,遥测(AI)#5976,5976,-4025,,,,,
遥信(DI)#5977,遥测(AI)#5977,5977,-4024,,,,,
遥信(DI)#5978,遥测(AI)#5978,5978,-4023,,,,,
遥信(DI)#5979,遥测(AI)#5979,5979,-4022,,,,,
遥信(DI)#5980,遥测(AI)#5980,5980,-4021,,,,,
遥信(DI)#5981,遥测(AI)#5981,5981,-4020,,,,,
遥信(DI)#5982,遥测(AI)#5982,5982,-4019,,,,,
遥信(DI)#5983,遥测(AI)#5983,5983,-4018,,,,,
遥信(DI)#5984,遥测(AI)#5984,5984,-4017,,,,,
遥信(DI)#5985,遥测(AI)#5985,5985,-4016,,,,,
遥信(DI)#5986,遥测(AI)#5986,5986,-4015,,,,,
遥信(DI)#5987,遥测(AI)#5987,5987,-4014,,,,,
遥信(DI)#5988,遥测(AI)#5988,5988,-4013,,,,,
遥信(DI)#5989,遥测(AI)#5989,5989,-4012,,,,,
遥信(DI)#5990,遥测(AI)#5990,5990,-4011,,,,,
遥信(DI)#5991,遥测(AI)#5991,5991,-4010,,,,,
遥信(DI)#5992,遥测(AI)#5992,5992,-4009,,,,,
遥信(DI)#5993,遥测(AI)#5993,5993,-4008,,,,,
遥信(DI)#5994,遥测(AI)#5994,5994,-4007,,,,,
遥信(DI)#5995,遥测(AI)#5995,5995,-4006,,,,,
遥信(DI)#5996,遥测(AI)#5996,5996,-4005,,,,,
遥信(DI)#5997,遥测(AI)#5997,5997,-4004,,,,,
遥信(DI)#5998,遥测(AI)#5998,5998,-4003,,,,,
遥信(DI)#5999,遥测(AI)#5999,5999,-4002,,,,,
遥信(DI)#6000,遥测(AI)#6000,6000,-4001,,,,,
遥信(DI)#6001,遥测(AI)#6001,6001,-4000,,,,,
遥信(DI)#6002,遥测(AI)#6002,6002,-3999,,,,,
遥信(DI)#6003,遥测(AI)#6003,6003,-3998,,,,,
遥信(DI)#6004,遥测(AI)#6004,6004,-3997,,,,,
遥信(DI)#6005,遥测(AI)#6005,6005,-3996,,,,,
遥信(DI)#6006,遥测(AI)#6006,6006,-3995,,,,,
遥信(DI)#6007,遥测(AI)#6007,6007,-3994,,,,,
遥信(DI)#6008,遥测(AI)#6008,6008,-3993,,,,,
遥信(DI)#6009,遥测(AI)#6009,6009,-3992,,,,,
遥信(DI)#6010,遥测(AI)#6010,6010,-3991,,,,,
遥信(DI)#6011,遥测(AI)#6011,6011,-3990,,,,,
遥信(DI)#6012,遥测(AI)#6012,6012,-3989,,,,,
遥信(DI)#6013,遥测(AI)#6013,6013,-3988,,,,,
遥信(DI)#6014,遥测(AI)#6014,6014,-3987,,,,,
遥信(DI)#6015,遥测(AI)#6015,6015,-3986,,,,,
遥信(DI)#6016,遥测(AI)#6016,6016,-3985,,,,,
遥信(DI)#6017,遥测(AI)#6017,6017,-3984,,,,,
遥信(DI)#6018,遥测(AI)#6018,6018,-3983,,,,,
遥信(DI)#6019,遥测(AI)#6019,6019,-3982,,,,,
遥信(DI)#6020,遥测(AI)#6020,6020,-3981,,,,,
遥信(DI)#6021,遥测(AI)#6021,6021,-3980,,,,,
遥信(DI)#6022,遥测(AI)#6022,6022,-3979,,,,,
遥信(DI)#6023,遥测(AI)#6023,6023,-3978,,,,,
遥信(DI)#6024,遥测(AI)#6024,6024,-3977,,,,,
遥信(DI)#6025,遥测(AI)#6025,6025,-3976,,,,,
遥信(DI)#6026,遥测(AI)#6026,6026,-3975,,,,,
遥信(DI)#6027,遥测(AI)#6027,6027,-3974,,,,,
遥信(DI)#6028,遥测(AI)#6028,6028,-3973,,,,,
遥信(DI)#6029,遥测(AI)#6029,6029,-3972,,,,,
遥信(DI)#6030,遥测(AI)#6030,6030,-3971,,,,,
遥信(DI)#6031,遥测(AI)#6031,6031,-3970,,,,,
遥信(DI)#6032,遥测(AI)#6032,6032,-3969,,,,,
遥信(DI)#6033,遥测(AI)#6033,6033,-3968,,,,,
遥信(DI)#6034,遥测(AI)#6034,6034,-3967,,,,,
遥信(DI)#6035,遥测(AI)#6035,6035,-3966,,,,,
遥信(DI)#6036,遥测(AI)#6036,6036,-3965,,,,,
遥信(DI)#6037,遥测(AI)#6037,6037,-3964,,,,,
遥信(DI)#6038,遥测(AI)#6038,6038,-3963,,,,,
遥信(DI)#6039,遥测(AI)#6039,6039,-3962,,,,,
遥信(DI)#6040,遥测(AI)#6040,6040,-3961,,,,,
遥信(DI)#6041,遥测(AI)#6041,6041,-3960,,,,,
遥信(DI)#6042,遥测(AI)#6042,6042,-3959,,,,,
遥信(DI)#6043,遥测(AI)#6043,6043,-3958,,,,,
遥信(DI)#6044,遥测(AI)#6044,6044,-3957,,,,,
遥信(DI)#6045,遥测(AI)#6045,6045,-3956,,,,,
遥信(DI)#6046,遥测(AI)#6046,6046,-3955,,,,,
遥信(DI)#6047,遥测(AI)#6047,6047,-3954,,,,,
遥信(DI)#6048,遥测(AI)#6048,6048,-3953,,,,,
遥信(DI)#6049,遥测(AI)#6049,6049,-3952,,,,,
遥信(DI)#6050,遥测(AI)#6050,6050,-3951,,,,,
遥信(DI)#6051,遥测(AI)#6051,6051,-3950,,,,,
遥信(DI)#6052,遥测(AI)#6052,6052,-3949,,,,,
遥信(DI)#6053,遥测(AI)#6053,6053,-3948,,,,,
遥信(DI)#6054,遥测(AI)#6054,6054,-3947,,,,,
遥信(DI)#6055,遥测(AI)#6055,6055,-3946,,,,,
遥信(DI)#6056,遥测(AI)#6056,6056,-3945,,,,,
遥信(DI)#6057,遥测(AI)#6057,6057,-3944,,,,,
遥信(DI)#6058,遥测(AI)#6058,6058,-3943,,,,,
遥信(DI)#6059,遥测(AI)#6059,6059,-3942,,,,,
遥信(DI)#6060,遥测(AI)#6060,6060,-3941,,,,,
遥信(DI)#6061,遥测(AI)#6061,6061,-3940,,,,,
遥信(DI)#6062,遥测(AI)#6062,6062,-3939,,,,,
遥信(DI)#6063,遥测(AI)#6063,6063,-3938,,,,,
遥信(DI)#6064,遥测(AI)#6064,6064,-3937,,,,,
遥信(DI)#6065,遥测(AI)#6065,6065,-3936,,,,,
遥信(DI)#6066,遥测(AI)#6066,6066,-3935,,,,,
遥信(DI)#6067,遥测(AI)#6067,6067,-3934,,,,,
遥信(DI)#6068,遥测(AI)#6068,6068,-3933,,,,,
遥信(DI)#6069,遥测(AI)#6069,6069,-3932,,,,,
遥信(DI)#6070,遥测(AI)#6070,6070,-3931,,,,,
遥信(DI)#6071,遥测(AI)#6071,6071,-3930,,,,,
遥信(DI)#6072,遥测(AI)#6072,6072,-3929,,,,,
遥信(DI)#6073,遥测(AI)#6073,6073,-3928,,,,,
遥信(DI)#6074,遥测(AI)#6074,6074,-3927,,,,,
遥信(DI)#6075,遥测(AI)#6075,6075,-3926,,,,,
遥信(DI)#6076,遥测(AI)#6076,6076,-3925,,,,,
遥信(DI)#6077,遥测(AI)#6077,6077,-3924,,,,,
遥信(DI)#6078,遥测(AI)#6078,6078,-3923,,,,,
遥信(DI)#6079,遥测(AI)#6079,6079,-3922,,,,,
遥信(DI)#6080,遥测(AI)#6080,6080,-3921,,,,,
遥信(DI)#6081,遥测(AI)#6081,6081,-3920,,,,,
遥信(DI)#6082,遥测(AI)#6082,6082,-3919,,,,,
遥信(DI)#6083,遥测(AI)#6083,6083,-3918,,,,,
遥信(DI)#6084,遥测(AI)#6084,6084,-3917,,,,,
遥信(DI)#6085,遥测(AI)#6085,6085,-3916,,,,,
遥信(DI)#6086,遥测(AI)#6086,6086,-3915,,,,,
遥信(DI)#6087,遥测(AI)#6087,6087,-3914,,,,,
遥信(DI)#6088,遥测(AI)#6088,6088,-3913,,,,,
遥信(DI)#6089,遥测(AI)#6089,6089,-3912,,,,,
遥信(DI)#6090,遥测(AI)#6090,6090,-3911,,,,,
遥信(DI)#6091,遥测(AI)#6091,6091,-3910,,,,,
遥信(DI)#6092,遥测(AI)#6092,6092,-3909,,,,,
遥信(DI)#6093,遥测(AI)#6093,6093,-3908,,,,,
遥信(DI)#6094,遥测(AI)#6094,6094,-3907,,,,,
遥信(DI)#6095,遥测(AI)#6095,6095,-3906,,,,,
遥信(DI)#6096,遥测(AI)#6096,6096,-3905,,,,,
遥信(DI)#6097,遥测(AI)#6097,6097,-3904,,,,,
遥信(DI)#6098,遥测(AI)#6098,6098,-3903,,,,,
遥信(DI)#6099,遥测(AI)#6099,6099,-3902,,,,,
遥信(DI)#6100,遥测(AI)#6100,6100,-3901,,,,,
遥信(DI)#6101,遥测(AI)#6101,6101,-3900,,,,,
遥信(DI)#6102,遥测(AI)#6102,6102,-3899,,,,,
遥信(DI)#6103,遥测(AI)#6103,6103,-3898,,,,,
遥信(DI)#6104,遥测(AI)#6104,6104,-3897,,,,,
遥信(DI)#6105,遥测(AI)#6105,6105,-3896,,,,,
遥信(DI)#6106,遥测(AI)#6106,6106,-3895,,,,,
遥信(DI)#6107,遥测(AI)#6107,6107,-3894,,,,,
遥信(DI)#6108,遥测(AI)#6108,6108,-3893,,,,,
遥信(DI)#6109,遥测(AI)#6109,6109,-3892,,,,,
遥信(DI)#6110,遥测(AI)#6110,6110,-3891,,,,,
遥信(DI)#6111,遥测(AI)#6111,6111,-3890,,,,,
遥信(DI)#6112,遥测(AI)#6112,6112,-3889,,,,,
遥信(DI)#6113,遥测(AI)#6113,6113,-3888,,,,,
遥信(DI)#6114,遥测(AI)#6114,6114,-3887,,,,,
遥信(DI)#6115,遥测(AI)#6115,6115,-3886,,,,,
遥信(DI)#6116,遥测(AI)#6116,6116,-3885,,,,,
遥信(DI)#6117,遥测(AI)#6117,6117,-3884,,,,,
遥信(DI)#6118,遥测(AI)#6118,6118,-3883,,,,,
遥信(DI)#6119,遥测(AI)#6119,6119,-3882,,,,,
遥信(DI)#6120,遥测(AI)#6120,6120,-3881,,,,,
遥信(DI)#6121,遥测(AI)#6121,6121,-3880,,,,,
遥信(DI)#6122,遥测(AI)#6122,6122,-3879,,,,,
遥信(DI)#6123,遥测(AI)#6123,6123,-3878,,,,,
遥信(DI)#6124,遥测(AI)#6124,6124,-3877,,,,,
遥信(DI)#6125,遥测(AI)#6125,6125,-3876,,,,,
遥信(DI)#6126,遥测(AI)#6126,6126,-3875,,,,,
遥信(DI)#6127,遥测(AI)#6127,6127,-3874,,,,,
遥信(DI)#6128,遥测(AI)#6128,6128,-3873,,,,,
遥信(DI)#6129,遥测(AI)#6129,6129,-3872,,,,,
遥信(DI)#6130,遥测(AI)#6130,6130,-3871,,,,,
遥信(DI)#6131,遥测(AI)#6131,6131,-3870,,,,,
遥信(DI)#6132,遥测(AI)#6132,6132,-3869,,,,,
遥信(DI)#6133,遥测(AI)#6133,6133,-3868,,,,,
遥信(DI)#6134,遥测(AI)#6134,6134,-3867,,,,,
遥信(DI)#6135,遥测(AI)#6135,6135,-3866,,,,,
遥信(DI)#6136,遥测(AI)#6136,6136,-3865,,,,,
遥信(DI)#6137,遥测(AI)#6137,6137,-3864,,,,,
遥信(DI)#6138,遥测(AI)#6138,6138,-3863,,,,,
遥信(DI)#6139,遥测(AI)#6139,6139,-3862,,,,,
遥信(DI)#6140,遥测(AI)#6140,6140,-3861,,,,,
遥信(DI)#6141,遥测(AI)#6141,6141,-3860,,,,,
遥信(DI)#6142,遥测(AI)#6142,6142,-3859,,,,,
遥信(DI)#6143,遥测(AI)#6143,6143,-3858,,,,,
遥信(DI)#6144,遥测(AI)#6144,6144,-3857,,,,,
遥信(DI)#6145,遥测(AI)#6145,6145,-3856,,,,,
遥信(DI)#6146,遥测(AI)#6146,6146,-3855,,,,,
遥信(DI)#6147,遥测(AI)#6147,6147,-3854,,,,,
遥信(DI)#6148,遥测(AI)#6148,6148,-3853,,,,,
遥信(DI)#6149,遥测(AI)#6149,6149,-3852,,,,,
遥信(DI)#6150,遥测(AI)#6150,6150,-3851,,,,,
遥信(DI)#6151,遥测(AI)#6151,6151,-3850,,,,,
遥信(DI)#6152,遥测(AI)#6152,6152,-3849,,,,,
遥信(DI)#6153,遥测(AI)#6153,6153,-3848,,,,,
遥信(DI)#6154,遥测(AI)#6154,6154,-3847,,,,,
遥信(DI)#6155,遥测(AI)#6155,6155,-3846,,,,,
遥信(DI)#6156,遥测(AI)#6156,6156,-3845,,,,,
遥信(DI)#6157,遥测(AI)#6157,6157,-3844,,,,,
遥信(DI)#6158,遥测(AI)#6158,6158,-3843,,,,,
遥信(DI)#6159,遥测(AI)#6159,6159,-3842,,,,,
遥信(DI)#6160,遥测(AI)#6160,6160,-3841,,,,,
遥信(DI)#6161,遥测(AI)#6161,6161,-3840,,,,,
遥信(DI)#6162,遥测(AI)#6162,6162,-3839,,,,,
遥信(DI)#6163,遥测(AI)#6163,6163,-3838,,,,,
遥信(DI)#6164,遥测(AI)#6164,6164,-3837,,,,,
遥信(DI)#6165,遥测(AI)#6165,6165,-3836,,,,,
遥信(DI)#6166,遥测(AI)#6166,6166,-3835,,,,,
遥信(DI)#6167,遥测(AI)#6167,6167,-3834,,,,,
遥信(DI)#6168,遥测(AI)#6168,6168,-3833,,,,,
遥信(DI)#6169,遥测(AI)#6169,6169,-3832,,,,,
遥信(DI)#6170,遥测(AI)#6170,6170,-3831,,,,,
遥信(DI)#6171,遥测(AI)#6171,6171,-3830,,,,,
遥信(DI)#6172,遥测(AI)#6172,6172,-3829,,,,,
遥信(DI)#6173,遥测(AI)#6173,6173,-3828,,,,,
遥信(DI)#6174,遥测(AI)#6174,6174,-3827,,,,,
遥信(DI)#6175,遥测(AI)#6175,6175,-3826,,,,,
遥信(DI)#6176,遥测(AI)#6176,6176,-3825,,,,,
遥信(DI)#6177,遥测(AI)#6177,6177,-3824,,,,,
遥信(DI)#6178,遥测(AI)#6178,6178,-3823,,,,,
遥信(DI)#6179,遥测(AI)#6179,6179,-3822,,,,,
遥信(DI)#6180,遥测(AI)#6180,6180,-3821,,,,,
遥信(DI)#6181,遥测(AI)#6181,6181,-3820,,,,,
遥信(DI)#6182,遥测(AI)#6182,6182,-3819,,,,,
遥信(DI)#6183,遥测(AI)#6183,6183,-3818,,,,,
遥信(DI)#6184,遥测(AI)#6184,6184,-3817,,,,,
遥信(DI)#6185,遥测(AI)#6185,6185,-3816,,,,,
遥信(DI)#6186,遥测(AI)#6186,6186,-3815,,,,,
遥信(DI)#6187,遥测(AI)#6187,6187,-3814,,,,,
遥信(DI)#6188,遥测(AI)#6188,6188,-3813,,,,,
遥信(DI)#6189,遥测(AI)#6189,6189,-3812,,,,,
遥信(DI)#6190,遥测(AI)#6190,6190,-3811,,,,,
遥信(DI)#6191,遥测(AI)#6191,6191,-3810,,,,,
遥信(DI)#6192,遥测(AI)#6192,6192,-3809,,,,,
遥信(DI)#6193,遥测(AI)#6193,6193,-3808,,,,,
遥信(DI)#6194,遥测(AI)#6194,6194,-3807,,,,,
遥信(DI)#6195,遥测(AI)#6195,6195,-3806,,,,,
遥信(DI)#6196,遥测(AI)#6196,6196,-3805,,,,,
遥信(DI)#6197,遥测(AI)#6197,6197,-3804,,,,,
遥信(DI)#6198,遥测(AI)#6198,6198,-3803,,,,,
遥信(DI)#6199,遥测(AI)#6199,6199,-3802,,,,,
遥信(DI)#6200,遥测(AI)#6200,6200,-3801,,,,,
遥信(DI)#6201,遥测(AI)#6201,6201,-3800,,,,,
遥信(DI)#6202,遥测(AI)#6202,6202,-3799,,,,,
遥信(DI)#6203,遥测(AI)#6203,6203,-3798,,,,,
遥信(DI)#6204,遥测(AI)#6204,6204,-3797,,,,,
遥信(DI)#6205,遥测(AI)#6205,6205,-3796,,,,,
遥信(DI)#6206,遥测(AI)#6206,6206,-3795,,,,,
遥信(DI)#6207,遥测(AI)#6207,6207,-3794,,,,,
遥信(DI)#6208,遥测(AI)#6208,6208,-3793,,,,,
遥信(DI)#6209,遥测(AI)#6209,6209,-3792,,,,,
遥信(DI)#6210,遥测(AI)#6210,6210,-3791,,,,,
遥信(DI)#6211,遥测(AI)#6211,6211,-3790,,,,,
